English,Japanese,Kanji
sunny weather,はれ,晴れ
rain,あめ,雨
cloudy weather,くもり,曇り
snow,ゆき,雪
weather forecast,てんきよほう,天気予報
temperature (weather - not used for things),きおん,気温
summer,なつ,夏
winter,ふゆ,冬
this morning,けさ,今朝
the day after tomorrow,あっさて,
every week,まいしゅう,毎週
this month,こんげつ,今月
next month,らいげつ,来月
office worker,かいしゃいん,会社員
job; work; occupation,しごと,仕事
camera,カメラ,
karaoke,カラオケ,
place,ところ,所
tomato,トマト,
chopsticks,はし,
party,パーティー,
barbecue,バーベキュー,
homestay; living with a local family,ホームステイ,
bath,おふろ,お風呂
Spain,スペイン,
something,なにか,何か
,,
skillful; good at (～が）,じょうず（な）,上手
clumsy; poor at (～が）,へた（な）,下手
famous,ゆうめい（な）,有名
,,
to wash (～を）,あらう,洗う
to say,いう,言う
to need (～が）,いる,
to be late,おそくなる,遅くなる
to take a bath,おふろにはいる,お風呂に入る
to think,おもう,思う
to cut (～を）,きる,切る
to make (～を),つくる,作る
(rain/snow) falls（～が）,ふる,降る
to take (a thing) (～を）,もっていく,持っていく
,,
to throw away (～を）,すてる,捨てる
to begin (～を）,はじめる,始める
,,
to drive (～を）,うんてんする,運転する
to do laundry (～を）,せんたくする,洗濯する
to clean (～を）,そうじする,掃除する
to cook,りょうりする,料理する
,,
uh-huh;yes,うん,
uh-uh;no,ううん,
always,いつも,
(do something) late,おそく,遅く
Cheers! (a toast),かんぱい,乾杯
all (of the people) together,みんなで,
That's too bad.,ざんねん,残念
not...yet,まだ＋negative,
about...;concerning...,～について,
...degrees(temperature),～ど,～度
how,どう,
