English,Japanese,Kanji
traffic light,しんごう,信号
ordinal number suffix,め,目
corner,かど,角
to turn,まがる,曲がる
street,みち,道
"side (of something or taking someone's side); part",がわ,側
,,
Turn left,ひだりにまがる,左に曲がる
Turn Right,みぎにまがる,右に曲がる
,,
Cross the street,まっすぐいく,まっすぐ行く
,,
Turn left at the second corner,ふたつのめかどをひだりにまがる,二つ目の角を左に曲がる
,,
Turn right at the first traffic light,ひとつめのしんごうをみぎにまがる,一つ目の信号を右に曲がる
,,
Left side of the street,みちのひだりがわ,道の左側
Right side of the street,みちのみぎがわ,道の右側
,,
North,きた,北
East,ひがし,東
South,みなみ,南
West,にし,西
