English,Japanese,Kanji
family,かぞく,家族
grandfather; old man,おじいさん,
grandmother; old woman,おばあさん,
older brother,おにいさん,お兄さん
older sister,おねえさん,お姉さん
(my) father,ちち,父
(my) mother,はは,母
(my) older brother,あに,兄
(my) older sister,あね,姉
younger sister,いもうと,妹
younger brother,おとうと,弟
brothers and sisters,きょうだい,兄弟
man,おとこのひと,男の人
woman,おんなのひと,女の人
company,かいしゃ,会社
cafeteria; dining commons,しょくどう,食堂
department store,デパート,
hair,かみ,髪
mouth,くち,口
eye,め,目
glasses,めがね,眼鏡
song,うた,歌
club activity,サークル,
car,くるま,車
,,
long,ながい,長い
short,みじかい,短い
fast,はやい,速い
tall (stature),せがたかい,背が高い
short (stature),せがひくい,背が低い
bright; smart; clever (conjugates like いい),あたまがいい,頭がいい
cute,かわいい,可愛い
kind,しんせつ（な）,親切
convenient,べんり（な）,便利
,,
to sing (~を),うたう,歌う
to put on (a hat) (~を),かぶる,
to put on (items below your waist) (~を),はく,
to get to know (~を),しる,知る
I know,しっています,知っています
I do not know,しりません,知りません
to live (～にすんでいます),すむ,住む
to work,はたらく,働く
to gain weight,ふとる,太る
to be on the heavyside; overweight,ふとっています,太っています
,,
to put on (glasses),（めがねを）かける,
to put on (clothes above your waist) (~を),きる,着る
to lose weight,やせる,
to be thin,やせています,
,,
to get married (～と),けっこんする,結婚する
,,
"... but",～が,～が
not...anything,なにも+negative,何も
[counter for people],～にん,～人
one person,ひとり,一人
two people,ふたり,二人
nothing in particular,べつに+negative,別に
of course,もちろん,
if you like,よかったら,
