English,Japanese,Kanji
movie,えいが,映画
music,おんがく,音楽
magazine,ざっし,雑誌
sports,スポーツ,
date (romantic - not calendar),デート,
tennis,テニス,
TV,テレビ,
,,
ice cream,アイスクリーム,
hamburger,ハンバーガー,
sake; alcoholic drink,おさけ,お酒
green tea,おちゃ,お茶
coffee,コーヒー,
water,みず,水
breakfast,あさごはん,朝ご飯
lunch,ひるごはん,昼ご飯
dinner,ばんごはん,晩ご飯
,,
home; house,いえ,家
home; house; my place,うち,家
school,がっこう,学校
cafe,カフェ,
,,
tomorrow,あした,明日
today,きょう,今日
morning,あさ,朝
tonight,こんばん,今晩
every day,まいにち,毎日
every night,まいばん,毎晩
weekend,しゅうまつ,週末
Saturday,どようび,土曜日
Sunday,にちようび,日曜日
when,いつ,何時
at about...,～ごろ,
,,
to go (destination に/へ),いく,行く
to go back; to return  (destination に/へ),かえる,帰る
to listen; to hear (~を),きく,聞く
to drink (~を),のむ,飲む
to speak; to talk (language を/で）,はなす,話す
to read (~を),よむ,読む
,,
to get up,おきる,起きる
to eat (~を）,たべる,食べる
to sleep; to go to sleep,ねる,寝る
to see; to look at; to watch (~を),みる,見る
,,
to come  (destination に/へ) ,くる,来る
to do (~を),する,
to study (~を),べんきょうすれ,勉強する
,,
good,いい,
early,はやい,早い
,,
not much,あまり+negative,
not at all,ぜんぜん+negative,全然
usually,たいてい,
a little,ちょっと,
sometimes,ときどき,時々
often; much,よく,
,,
That's right; Let me see,そうですね,
but,でも,
How about...?; How is...?,どうですか,
yes,ええ,
