English,Japanese,Kanji
Both are fine,どちらでもいいです,
Same thing,おなじです,同じです
More or less the same,だいたいおなじです,大体同じです
A little different,ちょっとちがいます,ちょっと違います
Can't use it,つかえません,使えません
No good,だめです,
Raise your hand,てをあげてください,手を上げてください
Read it before coming to class,よんできてください,読んできてください
Hand in the homework,しゅくだいをだしてください,宿題を出してください
Open the book to page 10,じゅうページをひらいてください,十ページを開いてください
Close the textbook,きょうかしょをとじてください,教科書を閉じてください
Ask the person sitting next to you,となりのひとにきいてください,隣の人に聞いてください
Please stop,やめてください,
That's it for today,きょうはこれでおわります,今日はこれで終わります
,,
deadline,しめきり,締め切り
exercise,れんしゅう,練習
meaning,いみ,意味
pronunciation,はつおん,発音
grammar,ぶんぽう,文法
question,しつもん,質問
answer,こたえ,答え
example,れい,例
prentheses (round brackets),かっこ,
correct,まる,
wrong,ばつ,
colloquial expression (informal),くだけたいいかた,砕けた言い方
bookish expression (formal),かたいいいかた,かたい言い方
polite expression (formal),ていねいないいかた,丁寧な言い方
dialect,ほうげん,方言
common language,きょうつうご,共通語
for example,たとえば,例えば
number...,～ばん,～番
line number...,～ぎょうめ,～行目
two people each,ふたりずつ,二人ずつ
